time,kraken-btc-usd-spot,kraken-btc-usdt-spot
2023-03-01T00:00:00.000000000Z,0.0005760629489571,0.0167739832742707
2023-03-01T00:01:00.000000000Z,0.0031320977453826,0.0103691881826984
2023-03-01T00:02:00.000000000Z,0.0017634849586028,0.0149726311442843
2023-03-01T00:03:00.000000000Z,0.0004318152866866,0.0126655262041278
2023-03-01T00:04:00.000000000Z,0.0004316804851983,0.0145670645158312
2023-03-01T00:05:00.000000000Z,0.0005032835723591,0.0130154688637691
2023-03-01T00:06:00.000000000Z,0.0006114142324864,0.0126987952048306
2023-03-01T00:07:00.000000000Z,0.000431698320937,0.005508081573042
2023-03-01T00:08:00.000000000Z,0.0005039469517527,0.0156986604600814
2023-03-01T00:09:00.000000000Z,0.0028683734491201,0.014770894044711
2023-03-01T00:10:00.000000000Z,0.000510953937946,0.0154938572708234
2023-03-01T00:11:00.000000000Z,0.0009368306787038,0.0143044174020829
2023-03-01T00:12:00.000000000Z,0.0011874524621519,0.0201585563821759
2023-03-01T00:13:00.000000000Z,0.0018343574944152,0.0148569884446091
2023-03-01T00:14:00.000000000Z,0.0019065043199727,0.0150756018035523
2023-03-01T00:15:00.000000000Z,0.0008272679428587,0.0166893191102442
2023-03-01T00:16:00.000000000Z,0.0004315748814724,0.0168702359834525
2023-03-01T00:17:00.000000000Z,0.0007190841862835,0.0117674034431785
2023-03-01T00:18:00.000000000Z,0.0004313966141789,0.0107870192361047
2023-03-01T00:19:00.000000000Z,0.0014019456801858,0.0131944217708239
2023-03-01T00:20:00.000000000Z,0.0010785127119784,0.0123676324723701
2023-03-01T00:21:00.000000000Z,0.0006468338035169,0.0004313887049432
2023-03-01T00:22:00.000000000Z,0.0019027339871191,0.0086877582202628
2023-03-01T00:23:00.000000000Z,0.0006464997069349,0.008585597317622
2023-03-01T00:24:00.000000000Z,0.0005386040764715,0.0130001417377894
2023-03-01T00:25:00.000000000Z,0.0004309456534806,0.0111741277023045
2023-03-01T00:26:00.000000000Z,0.0004669327354331,0.020118237460649
2023-03-01T00:27:00.000000000Z,0.000431014975609,0.0131507221915865
2023-03-01T00:28:00.000000000Z,0.0004310155948633,0.0155255097276112
2023-03-01T00:29:00.000000000Z,0.0004312135359556,0.0154263236130903
2023-03-01T00:30:00.000000000Z,0.0012941876766808,0.0161086778699607
2023-03-01T00:31:00.000000000Z,0.0004672414867731,0.0149851547014806
2023-03-01T00:32:00.000000000Z,0.0012569526190516,0.0187077484894542
2023-03-01T00:33:00.000000000Z,0.0016874372091045,0.0188903947169252
2023-03-01T00:34:00.000000000Z,0.002765340621953,0.0139384348068823
2023-03-01T00:35:00.000000000Z,0.0004309885044663,0.016092141082278
