timestamp,open,high,low,close,volume,count
1672531200,16528.7,16530,16528.6,16529.9,0.98415685,30
1672531260,16529.9,16530,16527,16527,0.26692275,6
1672531320,16528.2,16529.1,16523.7,16524.2,0.17948069,13
1672531380,16524.9,16525.4,16521.3,16521.4,0.54580292,19
1672531440,16521.3,16521.3,16520.1,16520.4,0.13510405,10
1672531500,16523.5,16523.5,16523.2,16523.4,0.05792408,5
1672531560,16524.3,16526.5,16523.5,16525.4,0.49370521,8
1672531620,16524.4,16527.1,16523.5,16523.5,0.22675307,12
1672531680,16523.5,16523.5,16520.1,16520.1,0.16134989,16
1672531740,16520.2,16520.2,16513.7,16515.1,0.35478541,20
1672531800,16515.1,16515.7,16511,16513.5,3.44582443,13
1672531860,16514.1,16516,16514,16515,0.06475096,13
1672531920,16514.9,16515,16514.9,16514.9,0.04159865,6
1672531980,16514.9,16515,16514.9,16515,0.9009587,15
1672532040,16515,16515,16514.9,16514.9,2.44365049,17
1672532100,16514.9,16515,16514.9,16514.9,0.00899608,6
1672532160,16515,16515,16514.9,16514.9,3.50138465,7
1672532220,16514.9,16515,16511.9,16512.9,14.06115117,38
1672532280,16513,16515,16513,16514.9,2.31473655,14
1672532340,16515,16515,16514.9,16514.9,0.3624113,8
1672532400,16514.9,16515,16514.9,16515,4.75072774,8
1672532460,16515,16524.8,16515,16524.7,0.02585216,11
1672532520,16524.8,16524.9,16523.5,16523.5,0.01745775,4
1672532580,16522.6,16524.9,16522.6,16524.8,0.59536937,14
1672532640,16524.9,16527.9,16524.8,16524.9,0.08355365,13
1672532700,16524.9,16529,16524.9,16529,0.40318281,15
1672532760,16528.9,16529,16527.6,16529,6.6540104,19
1672532820,16529,16529,16528.9,16528.9,0.03760804,8
1672532880,16529,16529,16528.9,16528.9,0.04300035,9
1672532940,16529,16529,16528.9,16528.9,0.10211505,10
1672533000,16529,16529,16527,16527,1.01054306,12
1672533060,16527.1,16527.1,16525.5,16525.6,0.046802,11
1672533120,16525.2,16525.2,16522.8,16522.9,0.14675674,7
1672533180,16522.8,16522.9,16522.8,16522.8,0.10221756,15
1672533240,16522.8,16522.9,16512.8,16516.1,0.09542039,13
1672533300,16514.6,16517.1,16511.5,16511.5,0.03576359,10
1672533360,16513.8,16513.8,16511.1,16513.6,4.95702101,75
1672533420,16513.6,16513.6,16513.5,16513.6,11.30264672,38
1672533480,16513.5,16513.6,16513.5,16513.5,0.15972594,12
1672533540,16513.6,16513.6,16513.5,16513.5,0.10254908,11
1672533600,16513.6,16516.5,16513.6,16514.6,0.00680736,7
1672533660,16514.7,16514.7,16513.5,16513.5,1.01575067,10
1672533720,16513.6,16513.6,16513.5,16513.6,0.46684745,11
1672533780,16513.5,16513.6,16505.2,16509.7,10.82476702,28
1672533840,16509.8,16512.2,16509.7,16512.2,0.01737125,10
1672533900,16508.9,16509.1,16508.7,16508.7,0.37328734,8
1672533960,16508.7,16515.3,16508.7,16513.9,11.01382966,22
1672534020,16514.2,16519.7,16514,16519.7,0.14879797,9
1672534080,16519.9,16520,16519.8,16519.9,2.17989825,14
1672534140,16520,16520,16519.6,16519.7,0.10342,8
1672534200,16519.5,16520,16516,16516,0.17500216,10
1672534260,16518.2,16518.4,16516.4,16518.2,0.01651961,7
1672534320,16518.3,16518.4,16518.3,16518.3,0.03149243,5
1672534380,16518.3,16518.5,16518.3,16518.4,2.10407317,15
1672534440,16518.4,16518.5,16518.4,16518.5,0.00919969,6
1672534500,16518.5,16518.5,16518.4,16518.5,0.00422485,9
1672534560,16518.5,16518.5,16518.4,16518.4,0.01285235,5
1672534620,16518.4,16519.8,16518.4,16519.8,6.86490699,13
1672534680,16519.9,16520,16519.8,16519.9,0.01546366,7
1672534740,16520,16520,16519.2,16519.3,0.0113971,8
1672534800,16519.3,16519.3,16518.4,16518.4,1.46207095,18
1672534860,16518.5,16519.2,16518,16519.2,7.16334115,19
1672534920,16519.1,16520,16519.1,16520,1.27630651,19
1672534980,16519.9,16520,16519.9,16519.9,4.14268706,20
1672535040,16520,16520,16519.9,16520,5.02401709,12
1672535100,16519.9,16520,16519.9,16519.9,0.00533982,5
1672535160,16520,16520,16519.9,16519.9,0.25088514,12
1672535220,16520,16520,16519.9,16519.9,0.67901316,8
1672535280,16520,16520,16519.9,16519.9,0.03678991,10
1672535340,16520,16520,16519.9,16520,0.24877677,18
1672535400,16519.9,16520,16519.9,16520,2.70752366,48
1672535460,16520,16520,16519.9,16520,0.22603126,16
1672535520,16520,16520,16519.9,16519.9,0.04523196,9
1672535580,16520,16520,16519.9,16519.9,0.03109438,10
1672535640,16520,16520,16519.9,16519.9,2.60178331,9
1672535700,16519.9,16520,16519.9,16519.9,0.06381441,5
1672535760,16519.9,16520,16519.9,16519.9,0.18544791,7
1672535820,16520,16520,16519.9,16520,0.08259882,11
1672535880,16520,16520,16519.9,16519.9,0.03577819,5
1672535940,16520,16522.3,16519.9,16522.2,0.70407603,21
1672536000,16522.3,16522.3,16522.2,16522.3,0.57232085,7
1672536060,16522.3,16522.3,16522.2,16522.2,0.05165366,14
1672536120,16522.3,16522.3,16522.2,16522.2,0.01159528,4
1672536180,16522.3,16522.3,16521.1,16521.2,1.73672104,18
1672536240,16521.2,16521.4,16521.1,16521.3,2.40684483,16
