timestamp,open,high,low,close,volume,count
1672531260,16540.3,16540.3,16540.3,16540.3,0.00347394,1
1672531320,16540.3,16540.3,16540.3,16540.3,0.00120915,1
1672531380,16537.5,16537.5,16537.5,16537.5,0.00204461,1
1672531620,16534.2,16534.2,16534.2,16534.2,0.00236664,1
1672531740,16527.1,16527.1,16526.9,16526.9,0.03078136,3
1672531800,16524.2,16524.2,16524.1,16524.1,0.165,3
1672532040,16525.1,16525.1,16522.4,16522.4,0.0200751,2
1672532100,16523.1,16523.1,16523.1,16523.1,0.00165499,1
1672532160,16522,16522,16522,16522,0.00279957,3
1672532280,16522,16522,16522,16522,2.07918823,1
1672532340,16522,16533.4,16522,16533.4,9.87614733,6
1672532760,16537.7,16537.7,16532.3,16532.3,6.97557568,11
1672533060,16535.1,16535.1,16535.1,16535.1,0.0027277,1
1672533180,16531.5,16531.5,16531.5,16531.5,0.00284414,1
1672533240,16530.5,16530.8,16530.5,16530.5,0.00619416,3
1672533300,16524.4,16524.4,16524.4,16524.4,0.0005,1
1672533540,16528.8,16528.8,16527.5,16527.5,0.04105748,3
1672533600,16522,16522,16522,16522,0.00405,2
1672533960,16521.8,16521.8,16521.8,16521.8,0.02398558,1
1672534200,16530.7,16530.7,16528.2,16528.2,0.00801869,2
1672534260,16528.1,16528.1,16528.1,16528.1,0.00060501,1
1672534800,16530.2,16530.2,16530.2,16530.2,0.06702,1
1672535100,16533.7,16533.7,16533.1,16533.1,0.01738693,2
1672535160,16534.6,16534.6,16534.6,16534.6,0.00012096,1
1672535220,16532.4,16532.4,16532.4,16532.4,0.04795962,2
1672535280,16533.5,16533.5,16533.5,16533.5,0.05653549,3
1672535340,16533,16533,16532.9,16532.9,0.05539549,3
1672535460,16542,16542.3,16542,16542.3,0.05991054,2
1672535520,16537.1,16537.1,16534.7,16534.7,0.35996,7
1672535580,16540.4,16541.2,16540.4,16541.2,0.18137015,2
1672535700,16539.1,16539.1,16539.1,16539.1,0.000125,1
1672535760,16536.1,16539.7,16535.8,16535.8,0.000379,3
1672535820,16535.5,16535.5,16532.6,16532.6,0.0002,2
1672535880,16537.5,16537.5,16537.5,16537.5,0.00599116,1
1672536000,16536.5,16536.5,16536.5,16536.5,0.00074766,1
1672536180,16534.8,16534.8,16534.7,16534.7,0.06844535,6
1672536240,16537.6,16538.8,16537.6,16538.1,0.1368907,11
1672536300,16537.8,16537.8,16533.6,16533.6,0.07010034,6
1672536480,16535.1,16535.1,16535.1,16535.1,0.0001,1
1672536600,16535.8,16535.8,16535.8,16535.8,0.00120858,1
1672536720,16533,16533,16531.9,16531.9,0.00908682,2
1672536780,16530.7,16530.7,16530.7,16530.7,0.01319578,2
1672536960,16536.9,16536.9,16536.9,16536.9,0.0001,1
1672537260,16539.9,16539.9,16539.9,16539.9,0.26436003,4
1672537320,16539.9,16539.9,16539.9,16539.9,0.22796599,6
1672537440,16540,16540.5,16535.7,16535.7,0.000604,4
1672537740,16540.9,16541.5,16540.9,16541.3,0.91176297,19
1672537860,16545.4,16545.4,16542.6,16543.2,1.3648196,24
1672537920,16543.1,16543.1,16543.1,16543.1,0.00353203,1
1672538040,16540.3,16543.9,16540,16541.2,0.03817811,5
1672538100,16545.6,16545.6,16542.7,16542.7,0.00334281,2
1672538160,16545,16549,16545,16548.9,0.03877095,3
1672538220,16550.4,16550.4,16550.4,16550.4,0.00771025,1
1672538640,16542.5,16542.5,16541.6,16541.6,0.001036,3
1672538760,16542.4,16542.4,16539.5,16539.5,0.00021,2
1672538880,16542.5,16542.5,16539.5,16539.5,0.00024,2
1672538940,16542.9,16542.9,16542.9,16542.9,0.000174,1
1672539000,16542.4,16542.4,16542.4,16542.4,0.00284252,1
1672539120,16542,16542,16542,16542,0.02183323,1
1672539300,16545.5,16550.2,16545.3,16550.2,0.06378221,4
1672539420,16552.5,16552.5,16552.3,16552.3,0.01452782,2
1672539660,16548.9,16548.9,16548.9,16548.9,0.1,3
1672539720,16548.9,16548.9,16548.9,16548.9,0.03063666,1
1672539900,16548.9,16548.9,16548.9,16548.9,0.05985262,1
1672540500,16558.1,16558.1,16558.1,16558.1,0.00164857,1
1672540560,16554.4,16554.4,16554.3,16554.3,0.01080491,2
1672540620,16554.3,16554.3,16554.3,16554.3,0.003517,1
1672540680,16553.6,16553.6,16553.6,16553.6,0.003475,1
1672540800,16548.9,16548.9,16548.9,16548.9,0.00327437,1
1672540980,16548.8,16548.8,16544,16544,0.00026046,2
1672541100,16541.1,16541.1,16541.1,16541.1,0.0141518,1
1672541700,16545.9,16545.9,16545.9,16545.9,0.00073737,1
1672542000,16546,16546,16546,16546,0.0001,1
