open_time,open,high,low,close,volume
2023-03-01 00:00:00+00:00,23143.82,23152.65,23140.02,23152.65,0.26395
2023-03-01 00:01:00+00:00,23152.65,23152.65,23152.65,23152.65,0.0
2023-03-01 00:02:00+00:00,23152.65,23152.65,23152.65,23152.65,0.0
2023-03-01 00:03:00+00:00,23152.65,23152.65,23152.65,23152.65,0.0
2023-03-01 00:04:00+00:00,23171.83,23171.83,23171.83,23171.83,0.02
2023-03-01 00:05:00+00:00,23178.51,23178.51,23178.51,23178.51,0.000454
2023-03-01 00:06:00+00:00,23178.51,23178.51,23178.51,23178.51,0.0
2023-03-01 00:07:00+00:00,23178.51,23178.51,23178.51,23178.51,0.0
2023-03-01 00:08:00+00:00,23178.51,23178.51,23178.51,23178.51,0.0
2023-03-01 00:09:00+00:00,23134.36,23134.44,23134.36,23134.44,0.030335
2023-03-01 00:10:00+00:00,23133.69,23133.69,23133.69,23133.69,0.026
2023-03-01 00:11:00+00:00,23133.69,23133.69,23133.69,23133.69,0.0
2023-03-01 00:12:00+00:00,23146.53,23146.53,23146.53,23146.53,0.00295
2023-03-01 00:13:00+00:00,23146.53,23146.53,23146.53,23146.53,0.0
2023-03-01 00:14:00+00:00,23163.04,23163.04,23163.04,23163.04,0.026
2023-03-01 00:15:00+00:00,23163.04,23163.04,23163.04,23163.04,0.0
2023-03-01 00:16:00+00:00,23163.04,23163.04,23163.04,23163.04,0.0
2023-03-01 00:17:00+00:00,23176.39,23182.15,23175.98,23175.98,0.081863
2023-03-01 00:18:00+00:00,23175.98,23175.98,23175.98,23175.98,0.0
2023-03-01 00:19:00+00:00,23184.93,23184.93,23184.93,23184.93,0.0017
2023-03-01 00:20:00+00:00,23183.01,23184.93,23183.01,23184.93,0.020006
2023-03-01 00:21:00+00:00,23184.93,23184.93,23184.93,23184.93,0.0
2023-03-01 00:22:00+00:00,23184.93,23184.93,23184.93,23184.93,0.0
2023-03-01 00:23:00+00:00,23206.66,23206.66,23194.67,23204.19,0.029207
2023-03-01 00:24:00+00:00,23210.36,23212.69,23210.36,23212.69,0.051
2023-03-01 00:25:00+00:00,23212.69,23212.69,23212.69,23212.69,0.0
2023-03-01 00:26:00+00:00,23212.69,23212.69,23212.69,23212.69,0.0
2023-03-01 00:27:00+00:00,23212.69,23212.69,23212.69,23212.69,0.0
2023-03-01 00:28:00+00:00,23212.69,23212.69,23212.69,23212.69,0.0
2023-03-01 00:29:00+00:00,23212.69,23212.69,23212.69,23212.69,0.0
2023-03-01 00:30:00+00:00,23212.69,23212.69,23212.69,23212.69,0.0
2023-03-01 00:31:00+00:00,23212.69,23212.69,23212.69,23212.69,0.0
2023-03-01 00:32:00+00:00,23211.13,23211.13,23197.29,23197.29,0.086854
2023-03-01 00:33:00+00:00,23197.29,23197.29,23197.29,23197.29,0.0
2023-03-01 00:34:00+00:00,23197.29,23197.29,23197.29,23197.29,0.0
2023-03-01 00:35:00+00:00,23197.29,23197.29,23197.29,23197.29,0.0
2023-03-01 00:36:00+00:00,23197.29,23197.29,23197.29,23197.29,0.0
2023-03-01 00:37:00+00:00,23195.32,23195.32,23195.32,23195.32,0.108034
2023-03-01 00:38:00+00:00,23195.32,23195.32,23195.32,23195.32,0.0
2023-03-01 00:39:00+00:00,23195.32,23195.32,23195.32,23195.32,0.0
2023-03-01 00:40:00+00:00,23195.32,23195.32,23195.32,23195.32,0.0
2023-03-01 00:41:00+00:00,23195.32,23195.32,23195.32,23195.32,0.0
2023-03-01 00:42:00+00:00,23195.32,23195.32,23195.32,23195.32,0.0
2023-03-01 00:43:00+00:00,23173.88,23173.88,23173.88,23173.88,0.0073
2023-03-01 00:44:00+00:00,23158.58,23158.59,23144.01,23144.01,0.235386
2023-03-01 00:45:00+00:00,23144.01,23144.01,23144.01,23144.01,0.0
2023-03-01 00:46:00+00:00,23149.69,23149.69,23148.4,23148.4,0.053352
2023-03-01 00:47:00+00:00,23135.54,23135.54,23135.54,23135.54,0.0048
2023-03-01 00:48:00+00:00,23120.21,23120.21,23119.06,23119.06,0.0455
2023-03-01 00:49:00+00:00,23116.74,23116.74,23101.69,23101.69,0.04816
2023-03-01 00:50:00+00:00,23099.14,23099.14,23064.26,23064.26,0.155812
2023-03-01 00:51:00+00:00,23084.26,23084.26,23081.71,23082.64,0.060866
2023-03-01 00:52:00+00:00,23067.54,23068.07,23064.6,23067.71,0.173212
2023-03-01 00:53:00+00:00,23068.34,23071.92,23031.35,23041.4,0.977375
2023-03-01 00:54:00+00:00,23056.39,23057.08,23036.71,23036.71,0.225111
2023-03-01 00:55:00+00:00,23029.76,23041.97,23029.76,23037.35,0.316728
2023-03-01 00:56:00+00:00,23044.36,23044.36,23044.36,23044.36,0.107185
